리뷰,별점
주말이라 배송이 좀 늦었지만 배달하시는분 정말 친절함 콤비박스 하와이안 시켰는데 맛은 평타 나오는데 파인애플의 신선도는 떨어짐 감자는 살짝 덜익었었고 스파게티는 평타나옴 닭은 맛있게 먹었는데 밤에 까스가 차고 방귀냄새도 시큰했음,3
맛있어요,5
친절 신속 따끈,4
좋아요,5
빨리 오네요,5
피자 처음올때 뜨거워서 좋음배달원 아져씨도 친절하시고맛도 좋음,5
맛있어요,5
배달 해주시는 분 친절하시구여생각보다 양도 많네요 박스셋트둘이서 배부르게 먹고 남겼어요 맛도 평타치고,5
가격대비 참 좋습니다 맛도 맛있고 다음번에 또 주문할꺼예요,5
빠른배달 맛도조아용,5
피자 맛있게 먹었음 핫윙도 양은 작지만 맛있었음,5
세트하와이안 피자먹었는데 맛있게 잘먹었어요 배달하시는분 친절하시고 또 시켜먹을께요,5
배달은 빠른편이고 맛은 평범한정도,5
맛있어요,5
피자는 먹을만 하지만 오븐스파게티는 별로예요,3
배달하시는분 너무 친절하셨어요 불고기피자 양념치킨시켰는데 피자는 너무 따듯해서 뜨거울정도였네요 맛은 먹을만했구요치킨은 양념맛이 너무 강햇던거같네요그래도 안전하게 다시 시켜먹을 의향은 있어요 평타치니까,5
굿,5
순삭해서 사진이 없는게 유감스럽네요 양념소스없이 원래 퍽퍽해서 후라이드 안먹는데 실수로 소스추가를 안했는데도 순살인데도 부들부들 맛있더라고요 앵간한 브랜드보다 양도 낭낭하구요 가끔 야식으로 치킨을 먹고싶을때 마다 주문하게되네욤,5
맛잇어요 진짜 너무 많이,5
간장치킨이 특히 맛있었어요,5
맛있게 잘 먹었습니다,5
너무 맛있고 특히 요거트 소스 잘 어울립니다,5
양도 정말 좋고 맛도 너무 맛있어요 강추,5
양도 적당하고 맛있어요,4
야심한 밤 새벽 3 시 재택근무로 눈빠지게 컴두들겨대다야식 땡겨서 설마 있겠어 별기대없이 치킨 아이콘 클릭 악 그래도 두세개 검색된다 선택의 여지없어 울며 겨자먹기로메뉴 훑어보고 땡기는 곳으로 주문했는데 왠걸 닭 싱싱한거 보소 서비스 버터갈릭감튀는 또 어쩔 계획은 치콜이였으나치맥으로 바뀌고 노트북 뚜껑도 닫히고 식후감,5
넘넘 맛있어용 역시 크리스피 순살,5
맛있네요 양도 괜찮고 좋네요,5
순살뿐만 아니라 뼈도 맛있네요 정성스럽게 하신 느낌이 나요,5
순살 양념이랑 후라이드 같이 잘하는 곳 별로 없는데 여긴 다 맛있고 좋네요 아직 뼈는 안먹어봤는데 다음엔 뼈도 한번 시켜봐야겠습니다,5
맛있어서 먹다보니 정신없이 먹네요 굿입니당,5
엄청 맛나게 먹었어요 추천합니다 또 주문할께요,5
급하다 먹느랴 중간에 사진 찍었네요배달도 금방왔고양도 넉넉하고 바삭하니 맛있게 잘 먹었습니다,5
맛있게 잘먹었습니다,5
맛있게 잘 먹었습니다,5
맛있고 양도 많습니다 순살치킨도 다리살이라 안퍽퍽하고 좋아요,5
주말 아침부터 오픈한 치킨집이 있을까 하고 보다가 역시 없구나 싶었는데 조금 기다리니영업시간 맞추어 주문 가능해하여 시켜봤어요 전에 다른 곳에 배달 시키면서 몇번 눈으로 지나치며 본 곳이었는데이렇게 맛있는줄 알았더라면 진작에 많이 시켜먹을 걸 그랬습니다 어머니랑 둘이서 전날에 먹고싶은 치킨다이어트하느라 참다가 아침부터 못참고 시켜먹었는데 대만족 했습니다 정말 맛있고 다음에 또 먹으려고요 번창하세요,5
결국 또 시켜먹었어요 저번에 시켜먹은거 리뷰쓰다가 또 시켜먹었었는데 지금 또 고민되는맛 아 근데 밥이랑 먹는게 아니면 크리스피는 꼭 체크하시길 권해드려여 바삭바삭 존맛,5
치킨 너무너무 맛있어용 완전 강추,5
여기는 늘 기본이상은 하는곳이네요양념도 베이직하고 튀김도 바삭바삭,5
맛있었습니다강추드려요,5
너무 맛있었어요꼭 추천드려요,5
촉촉하고 맛있어요,5
맛도 양도 만족했습니다닭이 부드러웠어요먹는도중에 사진을 찍은점 죄송합니다 맛있게 잘먹었습니다,5
일단 4 가지맛을 선택할 수 있다는게 개이득이라고생각했고요 솔직히 양념만 취향이였는데 맛이 다 중박이상 되요여러맛 시키면 꼭 함정이 있는게 국룰인데 여긴 다 중박이상이라 그냥 안심하고 시키면 될꺼같아요 아 근데 의외의 감튀맛집 감튀필수로 드셔보세요 여러분,5
비오는 새벽인데 배달도 정말 빠르고 순살이 뻑뻑한 살 하나없이 다 촉촉하네요 부모님도 너무 맛있다고 하셨어요 양도 많아서 셋이 먹고 조금 남았습니다다음에 또 시켜 먹을게요,5
아이들 시켜줬어요,5
후라이드랑 버터갈릭을 제일 맛있게 먹은 거 같아요 간장맛은 제 취향이 아니었고 양념은 그냥 평범한 양년치킨이었구요 양은 상당히 많아서 나눠서 먹었습니다 그리고 배달원분께서 다른 곳으로 잘못 배달해주셔서 약간 대화를 나눴지만 친절하시고 밝은 분이셔서 좋았습니다 저희집이 표기가 이상하게 되어있어서 잘못 배달해주시는 분들이 많은데 이렇게 말씀 드리니까 다음번엔 잘 확인하겠다며 돌아가셨어요,4
맛있습니다 근데 살짝 닭냄새가 나요,5
맛있는 치킨 늦게라도 먹을수있어 행복합니다,5
크리스피가 후라이드안에 살짝 매콤한게 들어잇는 크리스피인줄 알앗네용 담부턴 잘보고 시켜야겟어용 간장 정말절말 맛잇엇고 크리스피도 바삭바삭하고 맛잇엇어요 감사합니다,5
종종 시켜먹는중 둘이먹었는데 양많아서남김,5
늦은 시간에 시켜먹기 정말 좋은 곳 같습니다 양도 적지 않고 맛있습니다 잘 먹었습니다 번창하세요 사장님,5
새벽늦게 시켰는데는도 맛나게 해서 보내주셔서 감사합니다,5
맛있어요 배달도 빨랐고 친절함,5
이사와서 첫 배달로 치킨을 새벽이라 기대안했는데 잘먹았어요,5
괜찮았는데 후라이드가 좀 크게 엉겨붙어있고 튀김이 조금 많았네요,5
밤늦은 시간에 시켜서 죄송했지만 치킨이 너무 먹고싶엇는걸요 솔직히 기대 안하고 시켰는데 죄송 너무 맛잇엇어요 야식이라 양심상 다 안먹고 냄겨뒀다 나중에 먹음,5
늦은시간에 먹은 치킨인데 만족스러웠어요,5
우리는더블치킨 휴무일때 먹고싶어서 죽는줄 알았습니다 배달도 항상 빠르고 특히 후라이드 치킨이 너무 맛있어요 사장님 수술 회복 잘 하셨죠 가게로 문자드렸던 사람입니다 들숨에 건강을 날숨에 재력을 기원합니다 건강히 오래오래 운영해주세요,5
배달은 엄청빠르네요 근데 지금까지 먹어본 치킨중에 제일 별로네요 밍밍하기도 하고요 양도 좀,2
새벽에 시켜먹어도 맛있어요 베리굿,5
사장님 메뉴를 잘못 보신 거 같네요 양념 간장 시켰는데 후라이드만 둘이라 제가 잘못 시킨 줄 알고 많이 놀랐습니다,4
맛있게 잘 먹었습니다,5
브랜드에 지지않는 혹은 더 맛있는 치킨집 크리스피추가하시면 정말 맛있어요 커리간장이 맛있네요,5
겉바속촉 맛있음 심지어놔뒀다가다음날먹었는데도좋음 한동안여기서시킬예정,5
자주시켜먹는데 변함없이 맛있네요,5
양도 좋고 맛도 좋네요 간장은 커리간장으로 했는데맛있네요 먹을수로 매워져서 좀 힘들긴한데 굳,4
맛있게 먹었습니다,5
맛있게 잘 먹었습니다,5
커리치킨 인기가 많길래 한번 시켜봤는데 이게 진짜 제일 맛있네요잘 먹었습니다,5
언제나 맛있게 잘 먹고 있습니다,5
후라이드는 처음 먹어보는데 후라이드까지 맛난 집은 오랜만이네요 앞으로도 자주 시켜먹겠습니다,5
크리스피 추가하길 잘한것 같아요엄청 바삭하고 간도 좋고 맛있어요 여러가지 맛 볼 수 있어서 좋았습니다,5
맛 양 배달 모두 만족새벽에 시켜먹기 정말 좋네요,5
늦은시간 맛있게 먹었습니다,5
맛있어서 먹니라 사진못찍고 이제생각이나서 올리는데 맛도잇고 배달 겁나빠름,5
크리스피 뼈 시켰는데 그냥 순살이왔네,1
새벽에 시켜먹기 좋네요 맛있게 잘 먹었습니다,5
자주시켜먹는데 이번거는 치킨에서 비린내가 너무 심해서 얼마못먹었어요,3
맛있습니다 배달 시간도 딱맞고 아쉬운점은 셋트메뉴 맛을 고룰수 있으면 좋을듯 합니다,5
오 기대이상이었음 다음 날 남은거 렌지에 돌렸는데 이것도 기대이상 아쉬운건 치킨에 찍어먹는 소스 양이 적음 이 소스 맛남,5
새벽에도 배달되는 치킨 중에 여기가 평이 제일 낫길래 시켰는데 의외로 맛이 메이저 치킨 브랜드 못지 않아서 놀랐음 특히 양념치킨은 엔간한 메이저 치킨보다 맛있음 새벽에 축구 볼때 강추,5
새벽에 너무 맛있게 먹었네요,5
커리간장이 진짜 맛있어요 새벽에 치킨은 무조건 여기서 시켜먹습니다왠만한 유명 브랜드 뺨 칩니다,5
순살이 퍽퍽살이 아니고 부드럽고 쫄깃한 살이었고 여태까지 먹어본 모든 치킨 중에 가장 부드러웠습니다 겉바속촉으로 기분좋은 맛입니다 배달은 예정보다 빨리왔고 기사님도 친절하셨습니다 양도 아주 많아서 만족했습니다맛있게 잘 먹었습니다,5
이 시간에 먹을 수 있다는게 굿,5
너무 맛있어요 사장님 다음에 또 시켜먹을게요,5
치킨유목민이었는데 이제 여기로 정착할거에요 옛날 통닭같은 옛날 치킨 맛을 항상 원했는데 그게 바로 여기에요 그리고 저희 가족이 뼈보단 순살을 좋아하는데 여기는 순살 중에서도 진짜 순살이네요 부드러워서 너무좋아유양념치킨 안에있는 떡도 맛있고 간장치킨은 고소하니 맛있어요 엊그제도 시켜먹었눈데 오늘 또 시켜먹었어요 배달오자마자 허겁지겁 깍두기랑 달래 꺼내서 먹다가 찍었네요 깍두기랑 달래랑 찰떡,5
일주일에 한번은 먹고싶어지는 맛 너무맛잇어요,5
좋아요 맞있어요 제가 여기 단골 이거던요,5
맛있어서 몇번시켜먹었는데여오늘은 비닐봉투도없고 그냥 덩그러니 치킨박스만있는게 박스에 테이프라도붙혀주시지 요즘 안심테이프 그런거마니 붙혀주시던데 담에 그런것좀부탁해여,4
역시 맛납니다,5
배달도 빨리오고 양도 많고 맛있었습니다 다음에 또 시킬게요,5
역시 대박입니다,5
전체적으로 엄청 맛있었습니다 조금 매운 치킨이 있긴 했지만 같이 온 요거트 소스 덕분에 먹을만 하네요,5
일반적인 튀김딱딱한 치킨이 먹고싶은분들은 순살시 꼭 크리스피추가 하세요 안하시면 엄청 부드러운 튀김이 와서 당황하실수있음,5
새벽에 치킨 9 겨서 시켰눈데 딱히제스터일은 아닌거같네요 그랴도 친철하고 배달빨라서 좋아요,3
진짜 맛나네요 감사합니다,5
배달도 빨리왔고 리뷰보고 주문했는데 짱마싯네요 앞으로단골 하겠습니다아,5
양만큼은 진짜 최고입니다 치킨은 항상 여기서 시켜먹어요,5
진짜 맛있어요 순살인데 안퍽퍽해서 좋았어요,5
버터갈릭감자도 너무 맛있규 치킨도 너무 마싯어요 담날 데워먹어도 꿀맛,5
양도 많고 맛있었습니다 담에 또 시킬게여오 잘먹었습니다,5
잘 먹었습니,5
다른브랜드치킨보다 더 맛있는듯 꿀맛이에요,5
맛있습니닷,5
배달 빠르고 치킨도 맛있었습니다 다만 매운맛이 너무 안매웠어요 맵다가 말까 하는,5
처음 시켜먹는데요 거짓말이 아니라 정말 맛있습니다 진짜 맛있어요 요근래 먹어본 치킨 중에 최고에요 보통 같으면 리뷰 적당히 인삿말 정도로 끝낼건데 이건 진짜 맛있어서 정성스레 답니다 바삭하고 살도 부드럽고 믿고 시켜도 될거 같습니다 다음에 또 시켜 먹겠습니다 감사합니다,5
너무 맛있었어요 다음에 또 먹으려구여,5
서비스로 받은 버터갈릭감자도 너무 양이 혜자여서 감동 치킨은 한개도 안남기고 다 먹을정도로 상타치 왜 이제껏 몰라봤나 후회됨 굿 크리스피 추가는 기본중의 기본,5
튀김옷 바삭하게 잘배달해주셧네요잘먹었습니다,5
이사하기전날 이집 맛있었 는데 찾고 있었다는 댓글을 읽고 한입 베어물었을때이사 갈 곳에서 이 치킨이 생각날것이라고 확신했다,5
배민에서 시켜먹다가 없어져서 한참 찾았네요 맛있습니다,5
옛날호프집치킨 맛 촉촉하니적당히바삭 후라이드 맛있네요 커리간장은 아주살짝매콤함 독특간장맛 커리간장은 제입맛에는 그저그런 후라이드추천 야식 늦게까지 해주셔서 감사합니다,5
이게 야스지,5
마싯어요 바삭해요 두번째 먹는데 만족해용,5
유유유 잘먹었습니다,5
잘 먹었습니다,5
축구보면서 맛있게 잘 먹었습니다,5
원래 제가 늘 시키던 곳에서만 시켰었는데 도전 해보는 마음으로 시켰더니 진짜 꿀맛이네요 두마리로 4 가지 맛을 즐길 수 있고 크기도 좋아요 그리고 요거트치즈 소스인가 원래 하나 주시는건지는 몰라서 추가했었는데 추가하길 잘한거같아요 소스 진짜 맛있어요 소스 2 개가 쓱싹입니다 요거트치즈소스 꼭 추가하십쇼 도전해서 시킨 치킨 대성공적이네요 다음에 또 이용하겠습다,5
리뷰에서 하도 맛있다길래 커리 간장 먹었는데 굿 양념도 맛있고 촉촉하고 바삭해요 살도 뻑뻑하지 않고 촉촉해요 살짝 아쉬운건 새벽이라 그런지 건지는 모르겠는데 배달비가 3500 원 이더라구요 그래도 후회는 안 되는 맛이에요 다음에도 시켜먹고 싶어지는 맛,5
잘 먹었습니다,5
딱히 추천할만한지는 모르겟음 걍,4
치즈볼이맛있었어요,4
양념식은담에먹어도맛남,5
잘먹었습니다,5
다른 리뷰보고 커리간장에 양념시켰는데 굿 존맛 특히 커리간장 새벽에 시켜서 맛있는 곳 거의 없는데 둘다양념이라 좀 짜지만 난 짠거 좋아함 구웃,5
양념이 확실히 맛있습니다,5
바삭바삭하고 카레양념이 맛있어요배달도 빨리 해주시고 잘먹었어요다음에도 또 시킬께요,5
이집 양념 간장 반반 시키면되구요 간장은 커리간장 죽여요,5
하나하나 다 맛있게 잘 먹었습니다 진짜 다 각자의 매력이 있어서 좋았어요,5
이집 양념이랑 커리간장 죽음이에요 벌써 3 번째 시켜먹네요 숨은 맛집,5
리뷰만 보고 처음 시켜봤는데 양도 많고 튀김도 바삭하게 잘 튀겨져서 맛있게 잘 먹었어요 양념이나 후라이드간이 다른 치킨집처럼 너무 달거나 짜지않고 살짝 슴슴한데 자극적이지 않게 맛있어서 계속 들어가요 평소 양념치킨 좋아하는데 넘 간이 세서 많이 못 드시는 분 있으면 여기 치킨 추천해여 다음에 또 시켜먹을게요,5
치킨 맛있습니다 재주문하시는분 많으실것같네요 번창하시길,5
맛있게 잘먹었습니다 다음번에 좀 더 바삭한 치킨 먹고싶어요 또 이용할게요,5
이번에도 이집 혼내줬습니다 맛있어요,5
이 집 치킨 새벽치킨급이아니라 엄청맛있어요 두마리치킨 원픽고르라면 여기고를꺼같아요 이 집 혼내줍시다,5
저번에 이모네에서 시켜먹어서 맛있어서 또 시켜먹었는데 너무 맛있어요,5
매콤하니 맛있네요,5
자주 배달 시켜 먹을정도로 저희 조카들이 여기 치킨을 무척이나 좋아하네용 특히 저희 어머니랑 오빠는 1 인 1 닭할정도로 맛있나봐용전 후라이드도 좋치만 양념이 입에 더촥촥 감기네용,5
맛있어서 자주시켜요 간장이 특히 맛있음,5
시킬때마다 만족합니다,5
게눈감추듯 먹어서 사진은 없는데 여기 뼈치킨 진짜 핵맛이예오 완전 강추왠만하면 튀긴음식 싫어하는 우리엄마도 여기 맛있다고 했고요 오빠가 전에 여기꺼 사서 먹고 남겨줬는데 너무 맛있아서 자꾸 생각나서 시키게 된거예요 특히 양념치킨이 대박입니다 감쟈합니다 또 먹으러 올게요,5
배달도 빨리오고 맛있었어요 4 가지맛이라 색달랐습니다,5
배달 빠르고 양도 많고 맛있었어요담에 또 시킬거에요,5
먹다가 찍었어요 순살이 엄청 부드러워요 항상 맛있게 잘 먹고 있습니당,5
배달도 빠르고 맛있습니다 식어도 바삭해요,5
잘 먹었어요 양이조금 부족했어요,5
새벽에 배고팠는데 맛있게 잘먹었습니다,5
,4
양념소스 추가가 없어서 전화 드렸는데 화이트 어니언에 양파가 원래 들어가지 않아서 양파를 추가해야 한다고 하시더라구요 정말 납득이 안되서 화이트어니언이면 당연히 양파가 포함되어 있다고 생각하지 않나요 솔직히 양파가 포함되어 있지 않다는 안내와 함께 양파 추가 옵션이 있던지 차라리 양파 포함된 가격으로 금액을 올리시던지 해야할 것 같아요 항상 만족스럽게 먹던 집이었어가지고 더 문제가 되기 전에 개선하셔야 할 것 같아서 남깁니다 물론 맛있게 잘 먹긴 했습니다 감사해용,5
처음 시켜보는 거라 기대반 걱정반이였는데 양도 많고 맛있네요 정말 괜찮은 치킨매장인데 한가지 아쉬운점은 순살을 시켰는데 뼈가 왔다는거 그래서 4 점 드립니다 스읍,4
맛도잇고 양도 많고 맛잇어요,5
맛있게 잘먹었습니다,5
주소를 잘못적어서 배달하시는 수고스럽게해드렸는데 친절하게 다시 배달해주셔서 감사해요 맛있게잘먹었습니다,5
양이살짝부족한거같아요 음식은진짜맛잇엇어,5
감사합니다 감사합니다,5
무난하게 맛있어요 따뜻하게 배달옴,4
순살보단 뼈로 드세요,3
두번째먹어보는데 순살도 쥑이네요,5
맛잇어용,5
여기 레알이네요 너무맛있게 해줌,5
양도 많고 맛도 좋습니다 살은 부드럽고 겉은 바삭해요,5
성인 3 명이서 먹었는데도 배부르게 잘먹었어요순살도 질기지않고 부드러워서 더 맛있었어용 비오는날 배달해주셔서 감사해요,5
양도많고 맛도있고 배달도빠르고 좋네요,5
소스도 대충뭍혀져있고 양도얼마없네요 이가격이면 교촌먹습니다,2
맛있게 잘 먹었습니다,5
항상맛잇게먹어오오옹,5
맛있게 잘먹었습니다,5
아주 맛있습니다 살짝 느끼하긴해요,5
맛잇어요 진짜 너무 많이,5
양도 많고 맛있어용,5
맛있어요 배달도빠르고 후라이드가 그냥먹어도 진짜맛있었어여 따봉,5
까먹고 사진은 못찍었는데 맛 양 배달 모든 게 다 완벽했습니다 광사가면 자주 시켜먹어야겠어요,5
강아지 첫날 오후 5 시로 할까 하다가,5
기본적인 후라이드 중 상급인듯,5
겁나게 맛나네요 더 맛나게 해주셔요,5
나 혼자 사는 것이 아니라 다른 사람이 있다,5
속이 촉촉하고 겉이 바삭해요 간만에 너무 맛잇엇어요,5
진짜 너무 맛있어요 옛날 맛있는 호프집에 있던 짭짤한 치킨 그 맛이에요 새벽에도 영업하시니 너무 행복합니다 너무 맛있고 즐거운 식사였습니다 감사합니다,5
맛있게 잘먹었습니다,4
굿굿굿 아주 나이스,5
맛있어욤 혼자 다먹음,5
맛있어요 또 올께요,5
맛있게 잘 먹겠습니다,5
배달도 빠르고 맛있게 잘먹었습니다,5
은근히 후라이드 맛집 바삭바삭,5
치킨은 이곳에서만 시켜먹는데 하루 3 번 시켜먹은적도 있네요 식어도 치킨이 눅눅하지않고 바삭하고 촉촉해요 요청사항은 물론 빠른배달에 친절하기까지 항상 감사드리며 변함없는 맛있는 치킨 부탁해요,5
맜있스빈다 또 시킬께요,5
맜있스빈다 또 시킬께요,5
맛있었어요,5
맛있어요 담에또시킬께요,5
맛있습니다 또 올께요,5
맛있습니다 또주문할께요,5
오랜만에먹었는데 맛나게잘먹었어요,5
맛은보통 양은좀부족 배달빠름,4
제취향 딱입니다 맛있어요,5
감사합니다잘먹었습니다,5
처음 시켜봤는데 굉장히 맛있네요 자주 시켜야겠어요,5
두번째 시켜요 맛나요 아주그냥 저는 후라이드 룸메는 양념 어디꺼내고 확인하면서 맛있게 잘막엇습니다,5
맛있어요 늦게까지 배달해서 넘 좋고 같이온 감자도 맛있습니다,5
와후라이드 존맛탱후라이드가 넘 맛있어서 버터갈릭 가루범벅 먹기가 아까워요 담엔 후라이드로만 시켜먹을게용 후라이드 최고,5
오랜만에 맛있게 먹었습니다 다음에 또 주문 할게요,5
여태까지 유혹을 참지 못하고 새벽에 시켜먹었던 음식들은 대부분 후회했었는데 이번엔 정말 맛있었습니다 순살 엄청 부드럽고 갈릭버터 시즈닝도 입맛에 잘 맞았습니다 다음에 생각나면 또 시킬게요,5
포,5
젖가락이 안와서 전화로 젖가락말씀을 드렸는데 전화받으시는 사모님 엉뚱하게 순살 얘기하시네요 저희는 뼈치킨인데 근데 순살이든 뼈든 젖가락 기본아닌가요 더군다나 시킨곳이 당구장인데 젖가락없이 간다고 말씀하시는 사모님 너무 당황스러워 무는 손으로집어먹을까요 여쭈니 하시는 말씀 듣고보니 그렇네요 하길래 그냥 전화끊었네요 코로나라 배달 많죠 좀 신경 쓰시는게 좋을듯합니다 글줄입니다,1
잘 먹었어요 제 입맛에 잘 맞아요 오늘도 시켜먹을 예정,5
늦은시간에도 배달해주셔서 맛있게잘먹었습니다,5
사이사이 기름이 없다묜 짱 좋을텐데 그래도 퍽살 아니구 겉에 양념 맛잇구 바삭해율,4
떡도 너무 맛잇고 치킨 너무너무 맛있어서 새벽에 야식으로 치킨땡기면 여기서만 먹음,5
잘 먹었습니다아,5
서비스 너무 좋고 정말 맛있습니다 감사합니다,5
맛있어요 다음에 또 시켜먹을게용,5
너무맛있다행복하다,5
,5
배송 빠르고 버터갈릭 맛있어요 느끼한거 잘 못 드시는분은 금방 물릴수도 있어요 담엔 후라이드도 먹어봐야겠어요,4
바삭함이 남다름,5
너무너무 맛있음오밤중에 꼭 이거 머고싶을 때가 있는데 매번 맛있게 배달해주셔서 너무너무 좋음,5
생각보다 맛있게 잘 먹었어요 다음에 또 시켜먹을게요,4
새벽에 시킬곳이 없어서 기대안하고 시켰는데 너무 맛있어서 다들 깜짝놀람,5
안먹을 이유가 없다 너무너무 맛있다,5
배달도 빠르고 맛있게 먹었습니다,5
세벽 3 시가 넘은시간에 치킨배달되는곳이 마땅히없어서 처음 시켜봤는데 괜찮네요 잘먹었어요 마요소스 독특하네요,5
양념을 좋아하는 양념파인데 후라이드 튀김옷도 정말 너무 맛있네요,5
잘 0 억었어요 다음에도,5
맛있게 잘먹었습니다 양도 안부족했구요,5
후라이드 정말 맛있게 먹었어요 자주 이용할게요,5
맛있어요 애들도 잘먹어요 1 도안남기 4 식구 다 억음요,5
새벽에 먹은 치킨 중에 가장 맛있고 바삭바삭한 치킨이네요 자주 시켜먹을게요,5
맛있네요 또 시킬만합니다,4
애들이 잘먹더라구요,5
배달 완전 빠르고 맛있게 잘 먹었습니다,5
가슴살도 잘처리해주셔서 부드럽게 잘먹고 전체적으로 만족스럽습니다,5
항상 너무 잘배달오고 잘먹습니다 감사합니다,5
너무너무 잘먹었습니다,5
튀김이 바삭하네요닭똥집이 그냥 양념에 볶은게아니라 튀김입혀서 튀긴거네요 그래도 맛남간장 맛있,5
배달도빠르구 맛있어요 두명이서먹기에 양이딱맞았어요깔끔하게 클리어했어요,5
첫 주문 시 맛있어서 재주문했는데 딱딱한 것이 전 날 재고같은 맛이었어요,4
맛있어요,5
2 주동안 4 번째 시킵니다 항상 잘먹고있습니다 감사합니다,5
맛있게 매워요 잘 먹었어요 또 구매하고 싶습니다,5
배달 시간은 꽉 채운 60 분 이상이었지만 먼 곳까지 늦은 시간에 배달해주셔서 감사했습니다 맛있게잘먹었습니다,5
맛있게 잘 먹었습니다,5
매콤 달콤하니 엄청 맛있어요 맛있게 잘먹었습니다 감사합니다,5
잘 먹었습니다 감사합니다,5
잘 먹었습니다 감사합니다,5
잘 먹었습니다 감사합니다,5
맛있어요 짱짱 맛있어요,5
길이 얼어서 그런지 사장님께서 직접 오셨네용 늦은 시간까지 하는데 맛도 좋아 너무 만족스럽습니다,5
리뷰할 생각이 없어서 사진을 안찍다가 넘 맛있어서 리뷰남겨용 넘 맛있어요 양도 많아서 낼 아점 치밥까지 해결,5
맛있음 근데 타 지점이 제 입 맛에 맞음,5
맛있어요 감사합니다,5
맛있게 잘 먹었습니다,5
다 좋았습니다 워낙 훌랄라 팬이라,5
,5
배달도 예상시간 절반도 안되서 왔고 치킨의 양과 맛 모두 좋아요 특히 순살의 육질이 좋았어요,5
사진은 없지만 너무 오랜만에 먹는데 넘맛네요,5
정말 탁월한 선택 훌랄라 단연코 최고임니다,5
아주 맛있게 잘먹었습니다,5
매주먹지만 진짜 맛있어요 훌랄라 핫바베큐는 사랑입니다,5
맛있게잘먹었어요 늦게까지 해서 좋네요 야식으로 꿀맛입니더,5
맛나게 잘먹었어요,5
최근 구운치킨에 맛들렸는데훌랄라몰랐는데 우연히 왜 그런거 먹어 훌랄라먹어봐라는 추천을 듣고대강 이런저런 메뉴를 다 먹업봤습니다구운치킨은 훌랄라가 최고네요,5
역시 훌랄라는 맛있습니다진짜 짓짜 마시써여,5
늦게까지해서 좋아요,5
정말 맛있게 잘 먹었습니다,5
이정도면 단골 아닌가요 아 정말 맛있어요 번창하세요,5
맛있어서 또 시켜먹어여 매주 시키는듯요역시훌랄라 배달료만 싸면 더자주 시킬텐데 맛있게잘먹었어요,5
맛있어요빠른 배달도 굿,5
맛있게 잘 먹었습니다,5
일주일만에 또 먹었어요역시 넘나마시써여,5
숯불 향은 느껴져 좋았으나 닭의 수분기가 많이 빠져 다소 퍽퍽 했습니다,5
맛있어서 자주는 아니지만 잘먹고있습니다,5
맛있네요 베달도 빠르고 좀더 바싹하게 구워주셨으면 더 좋겠어요,4
또 먹고싶다 또 먹고싶다 맨날 먹고싶은맛예유,5
정말맛있어여 사진찍는다는걸 깜박잊고 허겁지겁먹었네요역시 훌랄라,5
맛있고친절하고배달빠름,5
50 분 후 도착이라더니 1 시간이 넘었는데 안오고 있어요새벽 4 시가 넘었는데 차가 막히나요,1
생각보다 그적 그래요,2
맛있게 잘먹었습니다,4
항상 먹던곳인데 역시나 너무맛있어요 양도 푸짐하고 3 이서 배부르게 먹었네요 배달시간도 시간안에 오고 다음에 재주문 할게요,5
믿고먹는 훌랄라 짱,5
매콤하면서 맛있어요 떡은 튀긴걸로 변경되었나봐여 이것도 떡꼬치먹는것같고 바삭거려 맛있네요,5
맛있게 잘먹었습니다,5
맛있어요 순살 소금구이,5
맛있게 먹었네여 배달료 4 천원이 좀 부담스럽다능,5
배송도 빠르고 좋았어요,5
1 양념감자인데 양념이 없다 전화해보니 원래 양념없는 감자를 양념감자로 부른다고 말인지 방군지 2 닭다리 빼고 살이 다 뻑뻑함 소스는 맛있는데 그냥 배달비까지 2 만 2 천원 내고 먹을만 한지는 모르겠음 두번다신 안시킬듯,2
잘먹었습니다 감사합니다 항상,5
지역이 조금 먼곳이라 배달료때문에 주문하기 부담되었는데 간만에 시켜먹었더니 맛도양도만족합니다,5
너무 맛잇어서 사진을 못찍었어욤 순살이라 먹기도 편하고떡도 튀겨져잇어 다양하게즐겼어욤,5
너무나 맛있게먹어습니다 양념는 너무나매워서요,5
맛있어요 근데 양이 좀 아쉬워요 그래도 재주문각입니다,4
핫닭은너무매웠어요 먹고배탈났어요 우동도시켰는데 이상한 냄새가나서못먹었어요 갈릭치킨은 마늘을갈아넣어만든거였는데 너무많이넣으신듯요 별로였어요 고구마떡만 맛있었음,4
핫하게 맛있어요,5
배달도 예상시간안에 왔고 매콤하니 맛있게 잘 먹었습니다,5
배송도 빠르고 좋았어요,5
고기굽기가 아쉽네요양녕도 닭고기국인줄,4
배달도 빨리오고 항상 시켜먹을때마다 맛있어요,5
양념은 맛있었어요살이 좀더 부드러웠으면 더 맛있을꺼같아요,5
살이 좀 너무 말라서 퍽퍽했어요,5
닭이 사진과 너무 다르게 작고 치킨 겉면은 많이 딱딱하고 속은 푸석했어요 다리 부분은 맛있게 먹었습니다,5
투블랙이 존맛이네영,4
항상 맛있게 먹고 있습니다,5
배송도 빠르고 좋았어요,5
역시 바베큐는 훌랄라 쉬림프 추천합니다무는 꼭 추가하세요 예쁜 사장님 넘 감사해요,5
매콤 달콤 맛있어요 배달도빠르고 번창하세요,5
